route,date,daytype,rides,year,month,day,day_of_week,is_weekend,season,route_encoded,TMAX,TMIN,PRCP,SNOW,AWND,is_rainy,is_snowy,rides_lag_1,rides_lag_7,rides_rolling_7,high_load
54A,2009-07-17,W,932,2009,7,17,4,0,2,104,15.0,5.0,0.0,0.0,10.0,0,0,1012.0,1041.0,953.1428571428572,0
152,2022-12-16,W,6122,2022,12,16,4,0,0,40,0.0,0.0,0.0,0.0,0.0,0,0,5992.0,5214.0,4762.714285714285,0
81,2020-08-25,W,5470,2020,8,25,1,0,2,141,0.0,0.0,0.0,0.0,0.0,0,0,5449.0,5483.0,5102.857142857143,0
124,2007-10-05,W,1476,2007,10,5,4,0,3,19,15.0,5.0,0.0,0.0,10.0,0,0,1412.0,1358.0,1245.428571428571,1
63W,2016-08-15,W,1265,2016,8,15,0,0,2,118,15.0,5.0,0.0,0.0,10.0,0,0,567.0,1308.0,1092.2857142857142,0
67,2004-10-11,W,11084,2004,10,11,0,0,3,124,15.0,5.0,0.0,0.0,10.0,0,0,7556.0,16040.0,14536.857142857143,0
123,2004-05-07,W,714,2004,5,7,4,0,1,18,15.0,5.0,0.0,0.0,10.0,0,0,971.0,929.0,842.8571428571429,0
135,2005-07-21,W,2450,2005,7,21,3,0,2,28,15.0,5.0,0.0,0.0,10.0,0,0,2240.0,2533.0,2449.1428571428573,0
52A,2001-11-19,W,7468,2001,11,19,0,0,3,99,15.0,5.0,0.0,0.0,10.0,0,0,2338.0,5656.0,5727.714285714285,1
X4,2023-10-03,W,3330,2023,10,3,1,0,3,180,0.0,0.0,0.0,0.0,0.0,0,0,2921.0,2310.0,2831.714285714286,1
136,2016-04-22,W,1628,2016,4,22,4,0,1,29,15.0,5.0,0.0,0.0,10.0,0,0,1791.0,1576.0,1664.0,0
136,2019-05-09,W,2019,2019,5,9,3,0,1,29,15.0,5.0,0.0,0.0,10.0,0,0,2116.0,2160.0,2095.5714285714284,0
30,2025-11-21,W,2659,2025,11,21,4,0,3,77,0.0,0.0,0.0,0.0,0.0,0,0,2642.0,2175.0,2078.8571428571427,0
37,2015-08-25,W,1585,2015,8,25,1,0,2,83,15.0,5.0,0.0,0.0,10.0,0,0,1675.0,1483.0,1608.7142857142858,0
90,2003-04-07,W,3054,2003,4,7,0,0,1,152,15.0,5.0,0.0,0.0,10.0,0,0,2015.0,3662.0,3717.285714285714,0
77,2008-05-13,W,23586,2008,5,13,1,0,1,136,15.0,5.0,0.0,0.0,10.0,0,0,23599.0,24369.0,20916.85714285714,1
103,2001-03-10,A,1754,2001,3,10,5,1,1,5,15.0,5.0,0.0,0.0,10.0,0,0,3556.0,1673.0,2856.714285714286,0
80,2025-12-10,W,8183,2025,12,10,2,0,0,140,0.0,0.0,0.0,0.0,0.0,0,0,8471.0,8862.0,7123.857142857143,0
122,2009-02-23,W,1071,2009,2,23,0,0,0,17,15.0,5.0,0.0,0.0,10.0,0,0,685.0,887.0,866.1428571428571,1
55N,2010-02-11,W,466,2010,2,11,3,0,0,108,15.0,5.0,0.0,0.0,10.0,0,0,530.0,754.0,588.5714285714286,0
10,2009-06-11,W,1292,2009,6,11,3,0,2,1,15.0,5.0,0.0,0.0,10.0,0,0,1259.0,1340.0,1313.2857142857142,1
51,2009-11-16,W,3076,2009,11,16,0,0,3,97,15.0,5.0,0.0,0.0,10.0,0,0,1170.0,2810.0,2262.285714285714,1
88,2006-09-17,U,902,2006,9,17,6,1,3,149,15.0,5.0,0.0,0.0,10.0,0,0,875.0,801.0,1803.0,0
36,2002-12-10,W,16603,2002,12,10,1,0,0,82,15.0,5.0,0.0,0.0,10.0,0,0,15434.0,16501.0,14719.714285714286,1
148,2026-02-02,W,1451,2026,2,2,0,0,0,37,0.0,0.0,0.0,0.0,0.0,0,0,1138.0,1441.0,1310.857142857143,0
157,2011-01-21,W,6101,2011,1,21,4,0,0,44,15.0,5.0,0.0,0.0,10.0,0,0,6955.0,6834.0,6112.428571428572,1
66,2001-10-19,W,23011,2001,10,19,4,0,3,123,15.0,5.0,0.0,0.0,10.0,0,0,21481.0,21109.0,18463.0,1
1,2018-05-29,W,1709,2018,5,29,1,0,1,0,15.0,5.0,0.0,0.0,10.0,0,0,1220.0,1676.0,1674.857142857143,0
30,2015-06-24,W,3237,2015,6,24,2,0,2,77,15.0,5.0,0.0,0.0,10.0,0,0,3199.0,3623.0,2850.285714285714,1
87,2022-03-31,W,5404,2022,3,31,3,0,1,148,0.0,0.0,0.0,0.0,0.0,0,0,5394.0,5361.0,4645.857142857143,0
111,2005-08-20,A,3212,2005,8,20,5,1,2,9,15.0,5.0,0.0,0.0,10.0,0,0,4987.0,3086.0,4509.571428571428,0
103,2023-06-12,W,998,2023,6,12,0,0,2,5,0.0,0.0,0.0,0.0,0.0,0,0,616.0,1160.0,1005.2857142857144,0
151,2018-09-15,A,13759,2018,9,15,5,1,3,39,15.0,5.0,0.0,0.0,10.0,0,0,14667.0,13087.0,14026.857142857143,0
77,2016-09-05,U,9961,2016,9,5,0,1,3,136,15.0,5.0,0.0,0.0,10.0,0,0,10645.0,19841.0,18377.42857142857,0
157,2011-01-20,W,6955,2011,1,20,3,0,0,44,15.0,5.0,0.0,0.0,10.0,0,0,7014.0,6584.0,6059.428571428572,1
91,2012-09-12,W,7973,2012,9,12,2,0,3,154,15.0,5.0,0.0,0.0,10.0,0,0,8666.0,8431.0,7287.285714285715,1
81,2017-11-14,W,11687,2017,11,14,1,0,3,141,15.0,5.0,0.0,0.0,10.0,0,0,11700.0,11768.0,10226.42857142857,0
66,2006-10-21,A,14586,2006,10,21,5,1,3,123,15.0,5.0,0.0,0.0,10.0,0,0,22893.0,15306.0,19950.285714285717,0
24,2022-12-07,W,1599,2022,12,7,2,0,0,68,0.0,0.0,0.0,0.0,0.0,0,0,1541.0,1356.0,1422.571428571429,0
86,2004-10-25,W,2215,2004,10,25,0,0,3,147,15.0,5.0,0.0,0.0,10.0,0,0,2211.0,2348.0,2151.0,0
90,2021-01-14,W,1927,2021,1,14,3,0,0,152,0.0,0.0,0.0,0.0,0.0,0,0,1964.0,1778.0,1719.428571428571,0
35,2001-03-19,W,6507,2001,3,19,0,0,1,81,15.0,5.0,0.0,0.0,10.0,0,0,2295.0,5683.0,5000.428571428572,1
54B,2020-11-03,W,1538,2020,11,3,1,0,3,105,0.0,0.0,0.0,0.0,0.0,0,0,1486.0,1317.0,1378.7142857142858,0
157,2022-09-27,W,4149,2022,9,27,1,0,3,44,0.0,0.0,0.0,0.0,0.0,0,0,3743.0,3611.0,3898.714285714286,0
37,2024-12-23,W,440,2024,12,23,0,0,0,83,0.0,0.0,0.0,0.0,0.0,0,0,763.0,1442.0,1241.142857142857,0
X49,2001-04-02,W,6083,2001,4,2,0,0,1,181,15.0,5.0,0.0,0.0,10.0,0,0,6197.0,6432.0,5703.428571428572,0
82,2025-05-25,U,7331,2025,5,25,6,1,1,143,0.0,0.0,0.0,0.0,0.0,0,0,8172.0,7005.0,11570.0,0
155,2023-11-29,W,4939,2023,11,29,2,0,3,42,0.0,0.0,0.0,0.0,0.0,0,0,4558.0,4460.0,3595.1428571428573,0
8A,2018-08-26,U,1263,2018,8,26,6,1,2,150,15.0,5.0,0.0,0.0,10.0,0,0,1949.0,1433.0,2083.714285714286,0
11,2009-07-10,W,5137,2009,7,10,4,0,2,8,15.0,5.0,0.0,0.0,10.0,0,0,5334.0,2628.0,3869.857142857143,1
90,2022-11-03,W,3827,2022,11,3,3,0,3,152,0.0,0.0,0.0,0.0,0.0,0,0,3663.0,3513.0,2934.0,0
72,2011-12-14,W,15683,2011,12,14,2,0,0,131,15.0,5.0,0.0,0.0,10.0,0,0,16600.0,17055.0,15387.285714285714,1
94,2005-06-25,A,5606,2005,6,25,5,1,2,157,15.0,5.0,0.0,0.0,10.0,0,0,7952.0,6479.0,8632.857142857143,0
X98,2002-07-13,A,38,2002,7,13,5,1,2,186,15.0,5.0,0.0,0.0,10.0,0,0,341.0,235.0,307.85714285714283,0
